"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5992","Пользователь может зарегистрировать POv21","chromium","Mon Mar 03 23:46:50 GMT 2025","failed","Mon Mar 03 23:46:56 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","329","get challenges","webkit","Mon Mar 03 23:43:47 GMT 2025","failed","Mon Mar 03 23:43:47 GMT 2025","Challenge with Service","api2.spec.js","",""
"","3539","Это новый тест","firefox","Mon Mar 03 23:42:38 GMT 2025","passed","Mon Mar 03 23:42:41 GMT 2025","Шаблон","builder.spec.js","",""
"","1294","Это новый тест","webkit","Mon Mar 03 23:44:34 GMT 2025","passed","Mon Mar 03 23:44:36 GMT 2025","Шаблон","template.spec.js","",""
"","1362","Это новый тест","chromium","Mon Mar 03 23:48:29 GMT 2025","passed","Mon Mar 03 23:48:31 GMT 2025","Шаблон","template.spec.js","",""
"","725","get challenges","chromium","Mon Mar 03 23:44:36 GMT 2025","passed","Mon Mar 03 23:44:37 GMT 2025","Challenge","api.spec.js","",""
"","303","get challenges","firefox","Mon Mar 03 23:42:36 GMT 2025","failed","Mon Mar 03 23:42:37 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1439","Это новый тест с фикстурой нового пользователя","chromium","Mon Mar 03 23:46:14 GMT 2025","passed","Mon Mar 03 23:46:16 GMT 2025","Фикстуры","fast.spec.js","",""
"","291","get challenges","chromium","Mon Mar 03 23:44:40 GMT 2025","passed","Mon Mar 03 23:44:40 GMT 2025","Challenge","apiAxios.spec.js","",""
"","1915","Это новый тест","firefox","Mon Mar 03 23:43:41 GMT 2025","passed","Mon Mar 03 23:43:43 GMT 2025","Шаблон","template.spec.js","",""
"","5961","Пользователь может зарегистрировать POv21","webkit","Mon Mar 03 23:44:26 GMT 2025","failed","Mon Mar 03 23:44:32 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","744","get challenges","firefox","Mon Mar 03 23:42:34 GMT 2025","passed","Mon Mar 03 23:42:35 GMT 2025","Challenge","api.spec.js","",""
"","273","get challenges","webkit","Mon Mar 03 23:43:47 GMT 2025","passed","Mon Mar 03 23:43:48 GMT 2025","Challenge","apiAxios.spec.js","",""
"","7277","Пользователь может зарегистрировать POv2","firefox","Mon Mar 03 23:43:03 GMT 2025","failed","Mon Mar 03 23:43:11 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","2358","Это новый тест с фикстурой нового пользователя","firefox","Mon Mar 03 23:42:44 GMT 2025","passed","Mon Mar 03 23:42:46 GMT 2025","Фикстуры","fast.spec.js","",""
"","2085","Это новый тест","setup","Mon Mar 03 23:42:25 GMT 2025","passed","Mon Mar 03 23:42:27 GMT 2025","","auth.setup.js","",""
"","273","get challenges","firefox","Mon Mar 03 23:42:37 GMT 2025","passed","Mon Mar 03 23:42:37 GMT 2025","Challenge","apiAxios.spec.js","",""
"","30132","Это новый тест","chromium","Mon Mar 03 23:45:43 GMT 2025","broken","Mon Mar 03 23:46:13 GMT 2025","Шаблон","facade.spec.js","",""
"","5996","Пользователь может зарегистрировать POv2","webkit","Mon Mar 03 23:44:06 GMT 2025","failed","Mon Mar 03 23:44:12 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1326","Это новый тест с фикстурой нового пользователя","webkit","Mon Mar 03 23:43:51 GMT 2025","passed","Mon Mar 03 23:43:52 GMT 2025","Фикстуры","fast.spec.js","",""
"","6083","Пользователь может зарегистрировать POv2","chromium","Mon Mar 03 23:46:29 GMT 2025","failed","Mon Mar 03 23:46:35 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","2581","Пользователь может авторизоваться используя логин пароль","firefox","Mon Mar 03 23:43:38 GMT 2025","passed","Mon Mar 03 23:43:41 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1443","Это новый тест","webkit","Mon Mar 03 23:43:48 GMT 2025","passed","Mon Mar 03 23:43:49 GMT 2025","Шаблон","builder.spec.js","",""
"","30118","Пользователь может авторизоваться используя логин пароль","chromium","Mon Mar 03 23:47:58 GMT 2025","broken","Mon Mar 03 23:48:29 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1435","Это новый тест","chromium","Mon Mar 03 23:44:40 GMT 2025","passed","Mon Mar 03 23:44:41 GMT 2025","Шаблон","builder.spec.js","",""
"","1759","Это новый тест","firefox","Mon Mar 03 23:42:42 GMT 2025","passed","Mon Mar 03 23:42:44 GMT 2025","Шаблон","facade.spec.js","",""
"","1331","Это новый тест","webkit","Mon Mar 03 23:43:49 GMT 2025","passed","Mon Mar 03 23:43:51 GMT 2025","Шаблон","facade.spec.js","",""
"","319","get challenges","chromium","Mon Mar 03 23:44:39 GMT 2025","failed","Mon Mar 03 23:44:39 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1443","Пользователь может авторизоваться используя логин пароль","webkit","Mon Mar 03 23:44:33 GMT 2025","passed","Mon Mar 03 23:44:34 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","7147","Пользователь может зарегистрировать POv21","firefox","Mon Mar 03 23:43:30 GMT 2025","failed","Mon Mar 03 23:43:37 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","653","get challenges","webkit","Mon Mar 03 23:43:44 GMT 2025","passed","Mon Mar 03 23:43:45 GMT 2025","Challenge","api.spec.js","",""
