"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","838","Это новый тест","chromium","Fri Mar 07 18:22:45 GMT 2025","passed","Fri Mar 07 18:22:46 GMT 2025","Шаблон","builder.spec.js","",""
"","789","Это новый тест","webkit","Fri Mar 07 18:22:42 GMT 2025","passed","Fri Mar 07 18:22:42 GMT 2025","Шаблон","template.spec.js","",""
"","855","Это новый тест","setup","Fri Mar 07 18:20:53 GMT 2025","passed","Fri Mar 07 18:20:54 GMT 2025","","auth.setup.js","",""
"","1176","Это новый тест с фикстурой нового пользователя","firefox","Fri Mar 07 18:21:02 GMT 2025","passed","Fri Mar 07 18:21:03 GMT 2025","Фикстуры","fast.spec.js","",""
"","183","get challenges","firefox","Fri Mar 07 18:20:56 GMT 2025","failed","Fri Mar 07 18:20:57 GMT 2025","Challenge with Service","api2.spec.js","",""
"","6770","Пользователь может зарегистрировать POv2","firefox","Fri Mar 07 18:21:19 GMT 2025","failed","Fri Mar 07 18:21:26 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","875","Это новый тест","chromium","Fri Mar 07 18:26:31 GMT 2025","passed","Fri Mar 07 18:26:32 GMT 2025","Шаблон","template.spec.js","",""
"","118","get challenges","webkit","Fri Mar 07 18:21:58 GMT 2025","failed","Fri Mar 07 18:21:58 GMT 2025","Challenge with Service","api2.spec.js","",""
"","290","get challenges","firefox","Fri Mar 07 18:20:55 GMT 2025","passed","Fri Mar 07 18:20:55 GMT 2025","Challenge","api.spec.js","",""
"","30114","Пользователь может авторизоваться используя логин пароль","chromium","Fri Mar 07 18:26:00 GMT 2025","broken","Fri Mar 07 18:26:31 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","200","get challenges","firefox","Fri Mar 07 18:20:57 GMT 2025","passed","Fri Mar 07 18:20:58 GMT 2025","Challenge","apiAxios.spec.js","",""
"","842","Пользователь может авторизоваться используя логин пароль","webkit","Fri Mar 07 18:22:41 GMT 2025","passed","Fri Mar 07 18:22:41 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","192","get challenges","webkit","Fri Mar 07 18:21:57 GMT 2025","passed","Fri Mar 07 18:21:57 GMT 2025","Challenge","api.spec.js","",""
"","30115","Это новый тест","chromium","Fri Mar 07 18:23:48 GMT 2025","broken","Fri Mar 07 18:24:18 GMT 2025","Шаблон","facade.spec.js","",""
"","5659","Пользователь может зарегистрировать POv2","webkit","Fri Mar 07 18:22:15 GMT 2025","failed","Fri Mar 07 18:22:20 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","5692","Пользователь может зарегистрировать POv2","chromium","Fri Mar 07 18:24:33 GMT 2025","failed","Fri Mar 07 18:24:38 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1142","Это новый тест","firefox","Fri Mar 07 18:21:55 GMT 2025","passed","Fri Mar 07 18:21:56 GMT 2025","Шаблон","template.spec.js","",""
"","195","get challenges","chromium","Fri Mar 07 18:22:43 GMT 2025","passed","Fri Mar 07 18:22:43 GMT 2025","Challenge","api.spec.js","",""
"","1124","Это новый тест","firefox","Fri Mar 07 18:21:01 GMT 2025","passed","Fri Mar 07 18:21:02 GMT 2025","Шаблон","facade.spec.js","",""
"","766","Это новый тест","webkit","Fri Mar 07 18:22:00 GMT 2025","passed","Fri Mar 07 18:22:01 GMT 2025","Шаблон","facade.spec.js","",""
"","5700","Пользователь может зарегистрировать POv21","webkit","Fri Mar 07 18:22:34 GMT 2025","failed","Fri Mar 07 18:22:40 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","6856","Пользователь может зарегистрировать POv21","firefox","Fri Mar 07 18:21:44 GMT 2025","failed","Fri Mar 07 18:21:51 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","116","get challenges","chromium","Fri Mar 07 18:22:44 GMT 2025","failed","Fri Mar 07 18:22:44 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1892","Пользователь может авторизоваться используя логин пароль","firefox","Fri Mar 07 18:21:52 GMT 2025","passed","Fri Mar 07 18:21:54 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","86","get challenges","chromium","Fri Mar 07 18:22:45 GMT 2025","passed","Fri Mar 07 18:22:45 GMT 2025","Challenge","apiAxios.spec.js","",""
"","5672","Пользователь может зарегистрировать POv21","chromium","Fri Mar 07 18:24:52 GMT 2025","failed","Fri Mar 07 18:24:58 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","874","Это новый тест с фикстурой нового пользователя","chromium","Fri Mar 07 18:24:19 GMT 2025","passed","Fri Mar 07 18:24:20 GMT 2025","Фикстуры","fast.spec.js","",""
"","2239","Это новый тест","firefox","Fri Mar 07 18:20:58 GMT 2025","passed","Fri Mar 07 18:21:00 GMT 2025","Шаблон","builder.spec.js","",""
"","776","Это новый тест с фикстурой нового пользователя","webkit","Fri Mar 07 18:22:01 GMT 2025","passed","Fri Mar 07 18:22:02 GMT 2025","Фикстуры","fast.spec.js","",""
"","90","get challenges","webkit","Fri Mar 07 18:21:59 GMT 2025","passed","Fri Mar 07 18:21:59 GMT 2025","Challenge","apiAxios.spec.js","",""
"","850","Это новый тест","webkit","Fri Mar 07 18:21:59 GMT 2025","passed","Fri Mar 07 18:22:00 GMT 2025","Шаблон","builder.spec.js","",""
