"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","Это новый тест","firefox","Fri Mar 07 17:47:18 GMT 2025","passed","Fri Mar 07 17:47:21 GMT 2025","Шаблон","builder.spec.js","",""
"","5669","Пользователь может зарегистрировать POv21","chromium","Fri Mar 07 17:51:13 GMT 2025","failed","Fri Mar 07 17:51:19 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1374","Это новый тест с фикстурой нового пользователя","firefox","Fri Mar 07 17:47:23 GMT 2025","passed","Fri Mar 07 17:47:24 GMT 2025","Фикстуры","fast.spec.js","",""
"","1786","Пользователь может авторизоваться используя логин пароль","firefox","Fri Mar 07 17:48:14 GMT 2025","passed","Fri Mar 07 17:48:15 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","115","get challenges","webkit","Fri Mar 07 17:48:19 GMT 2025","failed","Fri Mar 07 17:48:19 GMT 2025","Challenge with Service","api2.spec.js","",""
"","860","Это новый тест","webkit","Fri Mar 07 17:48:20 GMT 2025","passed","Fri Mar 07 17:48:21 GMT 2025","Шаблон","builder.spec.js","",""
"","197","get challenges","chromium","Fri Mar 07 17:49:04 GMT 2025","passed","Fri Mar 07 17:49:04 GMT 2025","Challenge","api.spec.js","",""
"","129","get challenges","firefox","Fri Mar 07 17:47:17 GMT 2025","failed","Fri Mar 07 17:47:17 GMT 2025","Challenge with Service","api2.spec.js","",""
"","102","get challenges","firefox","Fri Mar 07 17:47:18 GMT 2025","passed","Fri Mar 07 17:47:18 GMT 2025","Challenge","apiAxios.spec.js","",""
"","828","Пользователь может авторизоваться используя логин пароль","webkit","Fri Mar 07 17:49:01 GMT 2025","passed","Fri Mar 07 17:49:02 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","5687","Пользователь может зарегистрировать POv2","chromium","Fri Mar 07 17:50:53 GMT 2025","failed","Fri Mar 07 17:50:59 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1155","Это новый тест","firefox","Fri Mar 07 17:48:16 GMT 2025","passed","Fri Mar 07 17:48:17 GMT 2025","Шаблон","template.spec.js","",""
"","809","Это новый тест с фикстурой нового пользователя","chromium","Fri Mar 07 17:50:40 GMT 2025","passed","Fri Mar 07 17:50:40 GMT 2025","Фикстуры","fast.spec.js","",""
"","6809","Пользователь может зарегистрировать POv21","firefox","Fri Mar 07 17:48:05 GMT 2025","failed","Fri Mar 07 17:48:12 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1266","Это новый тест","setup","Fri Mar 07 17:47:13 GMT 2025","passed","Fri Mar 07 17:47:15 GMT 2025","","auth.setup.js","",""
"","5662","Пользователь может зарегистрировать POv21","webkit","Fri Mar 07 17:48:55 GMT 2025","failed","Fri Mar 07 17:49:01 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","98","get challenges","webkit","Fri Mar 07 17:48:20 GMT 2025","passed","Fri Mar 07 17:48:20 GMT 2025","Challenge","apiAxios.spec.js","",""
"","773","Это новый тест","webkit","Fri Mar 07 17:49:02 GMT 2025","passed","Fri Mar 07 17:49:03 GMT 2025","Шаблон","template.spec.js","",""
"","729","Это новый тест с фикстурой нового пользователя","webkit","Fri Mar 07 17:48:22 GMT 2025","passed","Fri Mar 07 17:48:23 GMT 2025","Фикстуры","fast.spec.js","",""
"","91","get challenges","chromium","Fri Mar 07 17:49:06 GMT 2025","passed","Fri Mar 07 17:49:06 GMT 2025","Challenge","apiAxios.spec.js","",""
"","176","get challenges","webkit","Fri Mar 07 17:48:18 GMT 2025","passed","Fri Mar 07 17:48:18 GMT 2025","Challenge","api.spec.js","",""
"","865","Это новый тест","chromium","Fri Mar 07 17:49:06 GMT 2025","passed","Fri Mar 07 17:49:07 GMT 2025","Шаблон","builder.spec.js","",""
"","30117","Пользователь может авторизоваться используя логин пароль","chromium","Fri Mar 07 17:52:21 GMT 2025","broken","Fri Mar 07 17:52:51 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","7014","Пользователь может зарегистрировать POv2","firefox","Fri Mar 07 17:47:40 GMT 2025","failed","Fri Mar 07 17:47:47 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","30117","Это новый тест","chromium","Fri Mar 07 17:50:09 GMT 2025","broken","Fri Mar 07 17:50:39 GMT 2025","Шаблон","facade.spec.js","",""
"","785","Это новый тест","webkit","Fri Mar 07 17:48:21 GMT 2025","passed","Fri Mar 07 17:48:22 GMT 2025","Шаблон","facade.spec.js","",""
"","113","get challenges","chromium","Fri Mar 07 17:49:05 GMT 2025","failed","Fri Mar 07 17:49:05 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1253","Это новый тест","firefox","Fri Mar 07 17:47:22 GMT 2025","passed","Fri Mar 07 17:47:23 GMT 2025","Шаблон","facade.spec.js","",""
"","187","get challenges","firefox","Fri Mar 07 17:47:15 GMT 2025","passed","Fri Mar 07 17:47:16 GMT 2025","Challenge","api.spec.js","",""
"","858","Это новый тест","chromium","Fri Mar 07 17:52:52 GMT 2025","passed","Fri Mar 07 17:52:53 GMT 2025","Шаблон","template.spec.js","",""
"","5693","Пользователь может зарегистрировать POv2","webkit","Fri Mar 07 17:48:36 GMT 2025","failed","Fri Mar 07 17:48:41 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
