"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","9","","18","0","","0"
"1","Авторизация","0","Авторизация пользователя","2","0","Авторизация через пароль","0"
