"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1962","Это новый тест","firefox","Fri Mar 07 18:14:53 GMT 2025","passed","Fri Mar 07 18:14:55 GMT 2025","Шаблон","facade.spec.js","",""
"","2083","Это новый тест","firefox","Fri Mar 07 18:15:51 GMT 2025","passed","Fri Mar 07 18:15:53 GMT 2025","Шаблон","template.spec.js","",""
"","1465","Это новый тест","webkit","Fri Mar 07 18:16:00 GMT 2025","passed","Fri Mar 07 18:16:01 GMT 2025","Шаблон","facade.spec.js","",""
"","1418","Это новый тест","webkit","Fri Mar 07 18:16:46 GMT 2025","passed","Fri Mar 07 18:16:47 GMT 2025","Шаблон","template.spec.js","",""
"","6150","Пользователь может зарегистрировать POv21","chromium","Fri Mar 07 18:19:04 GMT 2025","failed","Fri Mar 07 18:19:10 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1503","Пользователь может авторизоваться используя логин пароль","webkit","Fri Mar 07 18:16:44 GMT 2025","passed","Fri Mar 07 18:16:45 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","7090","Пользователь может зарегистрировать POv21","firefox","Fri Mar 07 18:15:39 GMT 2025","failed","Fri Mar 07 18:15:46 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","864","get challenges","firefox","Fri Mar 07 18:14:46 GMT 2025","passed","Fri Mar 07 18:14:46 GMT 2025","Challenge","api.spec.js","",""
"","1562","Это новый тест","chromium","Fri Mar 07 18:20:44 GMT 2025","passed","Fri Mar 07 18:20:45 GMT 2025","Шаблон","template.spec.js","",""
"","2709","Это новый тест","firefox","Fri Mar 07 18:14:50 GMT 2025","passed","Fri Mar 07 18:14:53 GMT 2025","Шаблон","builder.spec.js","",""
"","758","get challenges","webkit","Fri Mar 07 18:15:54 GMT 2025","passed","Fri Mar 07 18:15:55 GMT 2025","Challenge","api.spec.js","",""
"","721","get challenges","chromium","Fri Mar 07 18:16:52 GMT 2025","failed","Fri Mar 07 18:16:52 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1554","Это новый тест","chromium","Fri Mar 07 18:16:54 GMT 2025","passed","Fri Mar 07 18:16:55 GMT 2025","Шаблон","builder.spec.js","",""
"","7087","Пользователь может зарегистрировать POv2","firefox","Fri Mar 07 18:15:13 GMT 2025","failed","Fri Mar 07 18:15:20 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1519","Это новый тест","webkit","Fri Mar 07 18:15:58 GMT 2025","passed","Fri Mar 07 18:15:59 GMT 2025","Шаблон","builder.spec.js","",""
"","370","get challenges","firefox","Fri Mar 07 18:14:49 GMT 2025","failed","Fri Mar 07 18:14:49 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1406","Это новый тест с фикстурой нового пользователя","webkit","Fri Mar 07 18:16:01 GMT 2025","passed","Fri Mar 07 18:16:03 GMT 2025","Фикстуры","fast.spec.js","",""
"","30115","Пользователь может авторизоваться используя логин пароль","chromium","Fri Mar 07 18:20:13 GMT 2025","broken","Fri Mar 07 18:20:43 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1511","get challenges","chromium","Fri Mar 07 18:16:48 GMT 2025","passed","Fri Mar 07 18:16:49 GMT 2025","Challenge","api.spec.js","",""
"","6137","Пользователь может зарегистрировать POv2","webkit","Fri Mar 07 18:16:16 GMT 2025","failed","Fri Mar 07 18:16:22 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1603","Это новый тест","setup","Fri Mar 07 18:14:43 GMT 2025","passed","Fri Mar 07 18:14:45 GMT 2025","","auth.setup.js","",""
"","6109","Пользователь может зарегистрировать POv2","chromium","Fri Mar 07 18:18:43 GMT 2025","failed","Fri Mar 07 18:18:49 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","341","get challenges","firefox","Fri Mar 07 18:14:49 GMT 2025","passed","Fri Mar 07 18:14:50 GMT 2025","Challenge","apiAxios.spec.js","",""
"","671","get challenges","chromium","Fri Mar 07 18:16:53 GMT 2025","passed","Fri Mar 07 18:16:53 GMT 2025","Challenge","apiAxios.spec.js","",""
"","363","get challenges","webkit","Fri Mar 07 18:15:57 GMT 2025","passed","Fri Mar 07 18:15:58 GMT 2025","Challenge","apiAxios.spec.js","",""
"","1779","Это новый тест с фикстурой нового пользователя","firefox","Fri Mar 07 18:14:55 GMT 2025","passed","Fri Mar 07 18:14:57 GMT 2025","Фикстуры","fast.spec.js","",""
"","1537","Это новый тест с фикстурой нового пользователя","chromium","Fri Mar 07 18:18:28 GMT 2025","passed","Fri Mar 07 18:18:29 GMT 2025","Фикстуры","fast.spec.js","",""
"","6138","Пользователь может зарегистрировать POv21","webkit","Fri Mar 07 18:16:37 GMT 2025","failed","Fri Mar 07 18:16:43 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","369","get challenges","webkit","Fri Mar 07 18:15:57 GMT 2025","failed","Fri Mar 07 18:15:57 GMT 2025","Challenge with Service","api2.spec.js","",""
"","2510","Пользователь может авторизоваться используя логин пароль","firefox","Fri Mar 07 18:15:48 GMT 2025","passed","Fri Mar 07 18:15:50 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","30115","Это новый тест","chromium","Fri Mar 07 18:17:57 GMT 2025","broken","Fri Mar 07 18:18:27 GMT 2025","Шаблон","facade.spec.js","",""
