"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","967","Это новый тест","setup","Fri Mar 07 18:01:48 GMT 2025","passed","Fri Mar 07 18:01:49 GMT 2025","","auth.setup.js","",""
"","1494","Это новый тест с фикстурой нового пользователя","firefox","Fri Mar 07 18:02:01 GMT 2025","passed","Fri Mar 07 18:02:03 GMT 2025","Фикстуры","fast.spec.js","",""
"","70","get challenges","firefox","Fri Mar 07 18:01:57 GMT 2025","passed","Fri Mar 07 18:01:57 GMT 2025","Challenge","apiAxios.spec.js","",""
"","2233","Это новый тест","firefox","Fri Mar 07 18:01:57 GMT 2025","passed","Fri Mar 07 18:01:59 GMT 2025","Шаблон","builder.spec.js","",""
"","100","get challenges","chromium","Fri Mar 07 18:03:44 GMT 2025","failed","Fri Mar 07 18:03:44 GMT 2025","Challenge with Service","api2.spec.js","",""
"","100","get challenges","webkit","Fri Mar 07 18:02:58 GMT 2025","failed","Fri Mar 07 18:02:58 GMT 2025","Challenge with Service","api2.spec.js","",""
"","770","Это новый тест","webkit","Fri Mar 07 18:03:42 GMT 2025","passed","Fri Mar 07 18:03:42 GMT 2025","Шаблон","template.spec.js","",""
"","7035","Пользователь может зарегистрировать POv2","firefox","Fri Mar 07 18:02:18 GMT 2025","failed","Fri Mar 07 18:02:25 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","70","get challenges","webkit","Fri Mar 07 18:02:59 GMT 2025","passed","Fri Mar 07 18:02:59 GMT 2025","Challenge","apiAxios.spec.js","",""
"","776","Это новый тест с фикстурой нового пользователя","webkit","Fri Mar 07 18:03:01 GMT 2025","passed","Fri Mar 07 18:03:02 GMT 2025","Фикстуры","fast.spec.js","",""
"","101","get challenges","firefox","Fri Mar 07 18:01:56 GMT 2025","failed","Fri Mar 07 18:01:56 GMT 2025","Challenge with Service","api2.spec.js","",""
"","64","get challenges","chromium","Fri Mar 07 18:03:45 GMT 2025","passed","Fri Mar 07 18:03:45 GMT 2025","Challenge","apiAxios.spec.js","",""
"","146","get challenges","firefox","Fri Mar 07 18:01:55 GMT 2025","passed","Fri Mar 07 18:01:55 GMT 2025","Challenge","api.spec.js","",""
"","1900","Пользователь может авторизоваться используя логин пароль","firefox","Fri Mar 07 18:02:52 GMT 2025","passed","Fri Mar 07 18:02:54 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","5716","Пользователь может зарегистрировать POv21","webkit","Fri Mar 07 18:03:34 GMT 2025","failed","Fri Mar 07 18:03:40 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","836","Это новый тест","chromium","Fri Mar 07 18:03:45 GMT 2025","passed","Fri Mar 07 18:03:46 GMT 2025","Шаблон","builder.spec.js","",""
"","1158","Это новый тест","firefox","Fri Mar 07 18:02:55 GMT 2025","passed","Fri Mar 07 18:02:56 GMT 2025","Шаблон","template.spec.js","",""
"","764","Это новый тест","webkit","Fri Mar 07 18:03:00 GMT 2025","passed","Fri Mar 07 18:03:01 GMT 2025","Шаблон","facade.spec.js","",""
"","139","get challenges","webkit","Fri Mar 07 18:02:57 GMT 2025","passed","Fri Mar 07 18:02:57 GMT 2025","Challenge","api.spec.js","",""
"","30116","Это новый тест","chromium","Fri Mar 07 18:04:48 GMT 2025","broken","Fri Mar 07 18:05:18 GMT 2025","Шаблон","facade.spec.js","",""
"","5667","Пользователь может зарегистрировать POv2","chromium","Fri Mar 07 18:05:33 GMT 2025","failed","Fri Mar 07 18:05:38 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1471","Это новый тест","firefox","Fri Mar 07 18:02:00 GMT 2025","passed","Fri Mar 07 18:02:01 GMT 2025","Шаблон","facade.spec.js","",""
"","6785","Пользователь может зарегистрировать POv21","firefox","Fri Mar 07 18:02:44 GMT 2025","failed","Fri Mar 07 18:02:51 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","832","Это новый тест","webkit","Fri Mar 07 18:02:59 GMT 2025","passed","Fri Mar 07 18:03:00 GMT 2025","Шаблон","builder.spec.js","",""
"","30120","Пользователь может авторизоваться используя логин пароль","chromium","Fri Mar 07 18:07:01 GMT 2025","broken","Fri Mar 07 18:07:31 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","875","Это новый тест","chromium","Fri Mar 07 18:07:32 GMT 2025","passed","Fri Mar 07 18:07:32 GMT 2025","Шаблон","template.spec.js","",""
"","867","Это новый тест с фикстурой нового пользователя","chromium","Fri Mar 07 18:05:19 GMT 2025","passed","Fri Mar 07 18:05:20 GMT 2025","Фикстуры","fast.spec.js","",""
"","142","get challenges","chromium","Fri Mar 07 18:03:43 GMT 2025","passed","Fri Mar 07 18:03:43 GMT 2025","Challenge","api.spec.js","",""
"","5723","Пользователь может зарегистрировать POv2","webkit","Fri Mar 07 18:03:14 GMT 2025","failed","Fri Mar 07 18:03:20 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","5694","Пользователь может зарегистрировать POv21","chromium","Fri Mar 07 18:05:52 GMT 2025","failed","Fri Mar 07 18:05:58 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","836","Пользователь может авторизоваться используя логин пароль","webkit","Fri Mar 07 18:03:41 GMT 2025","passed","Fri Mar 07 18:03:41 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
