"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1694","Это новый тест","setup","Fri Mar 07 17:58:33 GMT 2025","passed","Fri Mar 07 17:58:35 GMT 2025","","auth.setup.js","",""
"","1350","Это новый тест","webkit","Fri Mar 07 17:59:54 GMT 2025","passed","Fri Mar 07 17:59:56 GMT 2025","Шаблон","facade.spec.js","",""
"","1385","Это новый тест","webkit","Fri Mar 07 17:59:53 GMT 2025","passed","Fri Mar 07 17:59:54 GMT 2025","Шаблон","builder.spec.js","",""
"","297","get challenges","chromium","Fri Mar 07 18:00:44 GMT 2025","failed","Fri Mar 07 18:00:44 GMT 2025","Challenge with Service","api2.spec.js","",""
"","631","get challenges","webkit","Fri Mar 07 17:59:45 GMT 2025","passed","Fri Mar 07 17:59:46 GMT 2025","Challenge","api.spec.js","",""
"","287","get challenges","chromium","Fri Mar 07 18:00:44 GMT 2025","passed","Fri Mar 07 18:00:45 GMT 2025","Challenge","apiAxios.spec.js","",""
"","268","get challenges","firefox","Fri Mar 07 17:58:39 GMT 2025","passed","Fri Mar 07 17:58:40 GMT 2025","Challenge","apiAxios.spec.js","",""
"","2579","Пользователь может авторизоваться используя логин пароль","firefox","Fri Mar 07 17:59:40 GMT 2025","passed","Fri Mar 07 17:59:42 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1429","Это новый тест","chromium","Fri Mar 07 18:04:34 GMT 2025","passed","Fri Mar 07 18:04:35 GMT 2025","Шаблон","template.spec.js","",""
"","4169","get challenges","webkit","Fri Mar 07 17:59:48 GMT 2025","failed","Fri Mar 07 17:59:52 GMT 2025","Challenge with Service","api2.spec.js","",""
"","7159","Пользователь может зарегистрировать POv21","firefox","Fri Mar 07 17:59:31 GMT 2025","failed","Fri Mar 07 17:59:38 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1355","Это новый тест","webkit","Fri Mar 07 18:00:39 GMT 2025","passed","Fri Mar 07 18:00:41 GMT 2025","Шаблон","template.spec.js","",""
"","3193","Это новый тест","firefox","Fri Mar 07 17:58:40 GMT 2025","passed","Fri Mar 07 17:58:43 GMT 2025","Шаблон","builder.spec.js","",""
"","6023","Пользователь может зарегистрировать POv2","chromium","Fri Mar 07 18:02:34 GMT 2025","failed","Fri Mar 07 18:02:40 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","2458","Это новый тест с фикстурой нового пользователя","firefox","Fri Mar 07 17:58:45 GMT 2025","passed","Fri Mar 07 17:58:48 GMT 2025","Фикстуры","fast.spec.js","",""
"","1375","Пользователь может авторизоваться используя логин пароль","webkit","Fri Mar 07 18:00:38 GMT 2025","passed","Fri Mar 07 18:00:39 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","30118","Это новый тест","chromium","Fri Mar 07 18:01:48 GMT 2025","broken","Fri Mar 07 18:02:18 GMT 2025","Шаблон","facade.spec.js","",""
"","645","get challenges","chromium","Fri Mar 07 18:00:41 GMT 2025","passed","Fri Mar 07 18:00:42 GMT 2025","Challenge","api.spec.js","",""
"","30114","Пользователь может авторизоваться используя логин пароль","chromium","Fri Mar 07 18:04:03 GMT 2025","broken","Fri Mar 07 18:04:33 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1762","Это новый тест","firefox","Fri Mar 07 17:59:43 GMT 2025","passed","Fri Mar 07 17:59:44 GMT 2025","Шаблон","template.spec.js","",""
"","286","get challenges","webkit","Fri Mar 07 17:59:52 GMT 2025","passed","Fri Mar 07 17:59:53 GMT 2025","Challenge","apiAxios.spec.js","",""
"","5983","Пользователь может зарегистрировать POv21","webkit","Fri Mar 07 18:00:31 GMT 2025","failed","Fri Mar 07 18:00:37 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1375","Это новый тест","chromium","Fri Mar 07 18:00:45 GMT 2025","passed","Fri Mar 07 18:00:46 GMT 2025","Шаблон","builder.spec.js","",""
"","5974","Пользователь может зарегистрировать POv21","chromium","Fri Mar 07 18:02:55 GMT 2025","failed","Fri Mar 07 18:03:01 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","1909","Это новый тест","firefox","Fri Mar 07 17:58:43 GMT 2025","passed","Fri Mar 07 17:58:45 GMT 2025","Шаблон","facade.spec.js","",""
"","6038","Пользователь может зарегистрировать POv2","webkit","Fri Mar 07 18:00:11 GMT 2025","failed","Fri Mar 07 18:00:17 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","395","get challenges","firefox","Fri Mar 07 17:58:38 GMT 2025","failed","Fri Mar 07 17:58:39 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1405","Это новый тест с фикстурой нового пользователя","chromium","Fri Mar 07 18:02:19 GMT 2025","passed","Fri Mar 07 18:02:20 GMT 2025","Фикстуры","fast.spec.js","",""
"","7256","Пользователь может зарегистрировать POv2","firefox","Fri Mar 07 17:59:04 GMT 2025","failed","Fri Mar 07 17:59:12 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","650","get challenges","firefox","Fri Mar 07 17:58:36 GMT 2025","passed","Fri Mar 07 17:58:36 GMT 2025","Challenge","api.spec.js","",""
"","1280","Это новый тест с фикстурой нового пользователя","webkit","Fri Mar 07 17:59:56 GMT 2025","passed","Fri Mar 07 17:59:57 GMT 2025","Фикстуры","fast.spec.js","",""
